after	after milliseconds
after	after milliseconds ?options? arg ?arg ...?
after active	after active
after cancel	after cancel arg ?arg ...?
after clear	after clear
after counts	after counts
after dump	after dump
after enable	after enable ?enabled?
after flags	after flags ?flags?
after idle	after idle ?options? arg ?arg ...?
after info	after info ?id?
append	append varName ?value ...?
apply	apply lambdaExpr ?arg1 arg2 ...?
array anymore	array anymore arrayName searchId
array copy	array copy ?options? source destination
array default	#exists get set unset
array default exists	array default exists arrayName
array default get	array default get arrayName
array default set	array default set arrayName value
array default unset	array default unset arrayName
array donesearch	array donesearch arrayName searchId
array exists	array exists arrayName
array for	array for {keyVarName valueVarName} arrayName script
array foreach	array foreach varList arrayName ?varList arrayName ...? script
array get	array get arrayName ?pattern?
array lmap	array lmap varList arrayName ?varList arrayName ...? script
array names	array names arrayName ?mode? ?pattern?
array nextelement	array nextelement arrayName searchId
array random	array random ?options? arrayName ?pattern?
array set	array set arrayName list
array size	array size arrayName
array startsearch	array startsearch arrayName
array unset	array unset arrayName ?pattern?
array values	array values arrayName ?mode? ?pattern?
base64 decode	base64 decode ?options? string
base64 encode	base64 encode ?options? string
bgerror	bgerror message
break	break ?string?
callback clear	callback clear
callback count	callback count
callback dequeue	callback dequeue ?options?
callback enqueue	callback enqueue name ?arg ...?
callback execute	callback execute
callback list	callback list ?pattern?
catch	catch script ?resultVarName? ?optionsVarName?
cd	cd ?dirName?
clock buildnumber	clock buildnumber ?options? ?dateString?
clock clicks	clock clicks ?options?
clock days	clock days ?options? ?dateString?
clock duration	clock duration startDateString endDateString
clock filetime	clock filetime fileTimeValue ?-format string? ?-gmt boolean? ?-epoch dateString?
clock format	clock format clockValue ?-format string? ?-gmt boolean? ?-epoch dateString?
clock isvalid	clock isvalid dateString
clock microseconds	clock microseconds ?epoch?
clock milliseconds	clock milliseconds ?epoch?
clock now	clock now ?-gmt boolean?
clock scan	clock scan dateString ?-base clockValue? ?-format string? ?-gmt boolean? ?-epoch dateString?
clock seconds	clock seconds ?epoch?
clock start	clock start
clock stop	clock stop startCount
close	close channelId
concat	concat ?arg arg ...?
continue	continue ?string?
debug break	debug break ?options?
debug breakpoints	debug breakpoints ?pattern?
debug cacheconfiguration	debug cacheconfiguration ?settings? ?level?
debug callback	debug callback ?{}|arg ...?
debug cleanup	debug cleanup ?flags?
debug collect	debug collect ?flags?
debug complaint	debug complaint
debug emergency	debug emergency ?options? ?level?
debug enable	debug enable ?enabled?
debug eval	debug eval arg ?arg ...?
debug exception	debug exception ?options?
debug execute	debug execute name ?enabled?
debug function	debug function name ?enabled?
debug gcmemory	debug gcmemory ?collect?
debug halt	debug halt ?result?
debug history	debug history ?enabled?
debug icommand	debug icommand ?command?
debug interactive	debug interactive ?enabled?
debug invoke	debug invoke ?level? cmd ?arg ...?
debug iqueue	debug iqueue ?options? ?command?
debug iresult	debug iresult ?result?
debug keyring	debug keyring
debug levels	debug levels
debug lockloop	debug lockloop enabled
debug lockvar	debug lockvar enabled name
debug log	debug log ?options? message
debug memory	debug memory
debug oncancel	debug oncancel ?enabled?
debug onerror	debug onerror ?enabled?
debug onexecute	debug onexecute ?enabled?
debug onexit	debug onexit ?enabled?
debug onreturn	debug onreturn ?enabled?
debug ontest	debug ontest ?enabled?
debug ontoken	debug ontoken ?enabled?
debug operator	debug operator name ?enabled?
debug output	debug output message
debug paths	debug paths ?flags?
debug pluginexecute	debug pluginexecute name request
debug pluginflags	debug pluginflags ?flags?
debug procedureflags	debug procedureflags procName ?flags?
debug purge	debug purge
debug readonly	debug readonly kind enabled ?pattern?
debug ready	debug ready ?isolated?
debug refreshautopath	debug refreshautopath ?verbose?
debug restore	debug restore ?strict? ?verbose?
debug resume	debug resume
debug run	debug run arg ?arg ...?
debug runtimeoption	debug runtimeoption has name
debug runtimeoverride	debug runtimeoverride name
debug secureeval	debug secureeval ?options? path arg ?arg ...?
debug self	debug self ?debug? ?force?
debug setup	debug setup ?create? ?isolated? ?createFlags? ?initializeFlags? ?scriptFlags? ?interpreterFlags?
debug shell	debug shell ?options? ?arg ...?
debug stack	debug stack ?force?
debug status	debug status
debug step	debug step ?enabled?
debug steps	debug steps ?integer?
debug subst	debug subst ?-nobackslashes? ?-nocommands? ?-novariables? string
debug suspend	debug suspend
debug sysmemory	debug sysmemory
debug test	debug test ?name? ?enabled?
debug testpath	debug testpath ?path?
debug token	debug token fileName startLine endLine ?enabled?
debug trace	debug trace ?options? ?message?
debug types	debug types ?types?
debug undelete	debug undelete ?pattern?
debug variable	debug variable ?options? varName
debug vout	debug vout ?channelId? ?enabled?
debug watch	debug watch ?varName? ?types?
do	do script clause test
downlevel	downlevel arg ?arg ...?
encoding convertfrom	encoding convertfrom ?encoding? data
encoding convertto	encoding convertto ?encoding? data
encoding getstring	encoding getstring object ?encoding?
encoding names	encoding names ?system? ?pattern?
encoding system	encoding system ?encoding?
eof	eof channelId
error	error message ?errorInfo? ?errorCode? ?returnCode?
eval	eval arg ?arg ...?
exec	exec ?options? arg ?arg ...?
exit	exit ?options? ?returnCode?
expr	expr arg ?arg ...?
fblocked	fblocked channelId
fconfigure	fconfigure channelId ?optionName? ?value?
fcopy	fcopy input output ?-size size? ?-command callback?
file atime	file atime name ?time?
file attributes	file attributes name ?option? ?value? ?option value ...?
file channels	file channels ?pattern?
file cleanup	file cleanup ?options? ?path?
file copy	file copy ?options? source ?source ...? target
file ctime	file ctime name ?time?
file delete	file delete ?options? file ?file ...?
file dirname	file dirname name
file drive	file drive ?name?
file executable	file executable name
file exists	file exists name
file extension	file extension name
file glob	file glob ?options? ?pattern?
file information	file information ?-directory boolean? ?--? name
file isdirectory	file isdirectory name
file isfile	file isfile name
file join	file join name ?name ...?
file list	file list ?directory? ?pattern?
file lstat	file lstat name varName
file magic	file magic fileName
file mkdir	file mkdir dir ?dir ...?
file mtime	file mtime name ?time?
file nativename	file nativename name
file normalize	file normalize ?options? name
file objectid	file objectid ?options? name
file owned	file owned name ?verbose?
file pathtype	file pathtype name
file readable	file readable name
file rename	file rename ?options? source ?source ...? target
file rights	file rights name
file rmdir	file rmdir dir ?dir ...?
file rootname	file rootname name
file rootpath	file rootpath name
file same	file same name1 name2
file sddl	file sddl ?options? name ?sddl?
file separator	file separator ?name?
file size	file size name
file split	file split name
file stat	file stat name varName
file system	file system ?name?
file tail	file tail name
file tempname	file tempname
file temppath	file temppath
file touch	file touch path
file trusted	file trusted path
file type	file type name
file under	file under ?options? name1 name2
file validname	file validname path ?pathType?
file verified	file verified path
file version	file version ?options? name
file volumes	file volumes
file writable	file writable name
flush	flush channelId
for	for start test next script ?end?
foreach	foreach varList list ?varList list ...? script
format	format formatString ?arg ...?
fpclassify	fpclassify value
getf	getf varName
gets	gets ?options? channelId ?varName?
glob	glob ?options? pattern ?pattern ...?
global	global varName ?varName ...?
guid compare	guid compare guid1 guid2
guid isnull	guid isnull guid
guid isvalid	guid isvalid guid
guid new	guid new
guid null	guid null
hash keyed	hash keyed ?options? algorithm string ?key?
hash list	hash list ?type?
hash mac	hash mac ?options? algorithm string ?key?
hash normal	hash normal ?options? algorithm string
host beep	host beep ?options?
host boxstyle	host boxstyle ?style?
host cancel	host cancel ?force?
host clear	host clear
host close	host close
host color	host color ?options?
host echo	host echo ?enabled?
host errchan	host errchan ?channel?
host exit	host exit ?force?
host flags	host flags
host font	host font ?options?
host inchan	host inchan ?channel?
host isopen	host isopen
host mode	host mode channel ?mode?
host namedcolor	host namedcolor ?options?
host open	host open
host outchan	host outchan ?channel?
host outputstyle	host outputstyle ?style?
host pause	host pause
host position	host position ?options?
host query	host query
host readchar	host readchar
host readkey	host readkey ?intercept?
host readline	host readline ?nullOk?
host redirected	host redirected channel
host reset	host reset ?options?
host result	host result code result ?errorLine?
host screen	#active create delete exists list peek pop push
host screen active	host screen active
host screen create	host screen create
host screen delete	host screen delete name ?active?
host screen exists	host screen exists name ?primary?
host screen list	host screen list ?pattern? ?primary?
host screen peek	host screen peek
host screen pop	host screen pop
host screen push	host screen push name
host size	host size ?options?
host sleep	host sleep milliseconds
host title	host title ?title?
host write	host write value ?newLine?
host writebox	host writebox ?options? string
if	if expr1 ?then? body1 elseif expr2 ?then? body2 elseif ... ?else? ?bodyN?
incr	incr varName ?increment?
info active	info active ?pattern?
info administrator	info administrator
info appdomain	info appdomain
info args	info args procName ?defaults?
info assembly	info assembly ?entry?
info base	info base
info binary	info binary ?forceDefault?
info bindertypes	info bindertypes ?pattern?
info body	info body procName ?showLines? ?useLocation?
info callbacks	info callbacks ?pattern?
info channels	info channels ?pattern?
info clr	info clr ?refresh?
info cmdcount	info cmdcount ?path? ?command?
info cmdline	info cmdline
info cmdtype	info cmdtype commandName
info commands	info commands ?options? ?pattern?
info complete	info complete script
info connections	info connections ?pattern?
info context	info context
info culture	info culture ?name?
info cultures	info cultures ?pattern?
info decision	info decision ?types?
info default	info default procName arg varName
info delegates	info delegates ?pattern?
info engine	info engine ?attribute? ?refresh? ?all?
info ensembles	info ensembles ?pattern?
info exists	info exists varName
info externals	info externals
info frame	info frame ?refresh?
info framework	info framework ?refresh?
info frameworkextra	info frameworkextra ?refresh?
info functions	info functions ?options? ?pattern?
info globals	info globals ?pattern?
info hostname	info hostname ?refresh?
info hwnd	info hwnd handle
info identifier	info identifier name ?kind? ?full?
info interactive	info interactive
info interps	info interps ?pattern? ?all?
info lastinput	info lastinput
